,subject,sensor_id,hrs_to_calving,variables,value
16108,2141FL,FL,-27,standing_time,489
16109,2141FL,FL,-26,standing_time,1501
16110,2141FL,FL,-25,standing_time,1632
16111,2141FL,FL,-24,standing_time,2747
16112,2141FL,FL,-23,standing_time,3600
16113,2141FL,FL,-22,standing_time,156
16114,2141FL,FL,-21,standing_time,1825
16115,2141FL,FL,-20,standing_time,3317
16116,2141FL,FL,-19,standing_time,3551
16117,2141FL,FL,-18,standing_time,2077
16118,2141FL,FL,-17,standing_time,3600
16119,2141FL,FL,-16,standing_time,2504
16120,2141FL,FL,-15,standing_time,3600
16121,2141FL,FL,-14,standing_time,3600
16122,2141FL,FL,-13,standing_time,3600
16123,2141FL,FL,-12,standing_time,3600
16124,2141FL,FL,-11,standing_time,2183
16125,2141FL,FL,-10,standing_time,2866
16126,2141FL,FL,-9,standing_time,3600
16127,2141FL,FL,-8,standing_time,1603
16128,2157BL,BL,-3585,standing_time,1000
16129,2157BL,BL,-3584,standing_time,0
16130,2157BL,BL,-3583,standing_time,1341
16131,2157BL,BL,-3582,standing_time,0
16132,2157BL,BL,-3581,standing_time,391
16133,2157BL,BL,-3580,standing_time,0
16134,2157BL,BL,-3579,standing_time,531
16135,2157BL,BL,-3578,standing_time,2970
16136,2157BL,BL,-3577,standing_time,2706
16137,2157BL,BL,-3576,standing_time,1420
16138,2157BL,BL,-3575,standing_time,0
16139,2157BL,BL,-3574,standing_time,769
16140,2157BL,BL,-3573,standing_time,1668
16141,2157BL,BL,-3572,standing_time,2377
16142,2157BL,BL,-3571,standing_time,0
16143,2157BL,BL,-3570,standing_time,893
16144,2157BL,BL,-3569,standing_time,2100
16145,2157BL,BL,-3568,standing_time,960
16146,2157BL,BL,-3567,standing_time,0
16147,2157BL,BL,-3566,standing_time,1008
16148,2157BL,BL,-3565,standing_time,3020
16149,2157BL,BL,-3564,standing_time,157
16150,2157BL,BL,-3563,standing_time,807
16151,2157BL,BL,-3562,standing_time,619
16152,2157BL,BL,-2841,standing_time,1553
16153,2157BL,BL,-2840,standing_time,0
16154,2157BL,BL,-2839,standing_time,1823
16155,2157BL,BL,-2838,standing_time,0
16156,2157BL,BL,-2837,standing_time,1505
16157,2157BL,BL,-2836,standing_time,0
16158,2157BL,BL,-2835,standing_time,1338
16159,2157BL,BL,-2834,standing_time,3356
16160,2157BL,BL,-2833,standing_time,0
16161,2157BL,BL,-2832,standing_time,2332
16162,2157BL,BL,-2831,standing_time,1624
16163,2157BL,BL,-2830,standing_time,0
16164,2157BL,BL,-2829,standing_time,2210
16165,2157BL,BL,-2828,standing_time,123
16166,2157BL,BL,-2827,standing_time,2809
16167,2157BL,BL,-2826,standing_time,0
16168,2157BL,BL,-2825,standing_time,3152
16169,2157BL,BL,-2824,standing_time,1911
16170,2157BL,BL,-2823,standing_time,0
16171,2157BL,BL,-2822,standing_time,3083
16172,2157BL,BL,-2821,standing_time,2424
16173,2157BL,BL,-2820,standing_time,2116
16174,2157BL,BL,-2819,standing_time,1816
16175,2157BL,BL,-2818,standing_time,615
16176,2157BL,BL,-2145,standing_time,0
16177,2157BL,BL,-2144,standing_time,813
16178,2157BL,BL,-2143,standing_time,1279
16179,2157BL,BL,-2142,standing_time,1857
16180,2157BL,BL,-2141,standing_time,2068
16181,2157BL,BL,-2140,standing_time,3600
16182,2157BL,BL,-2139,standing_time,1522
16183,2157BL,BL,-2138,standing_time,1987
16184,2157BL,BL,-2137,standing_time,2664
16185,2157BL,BL,-2136,standing_time,1603
16186,2157BL,BL,-2135,standing_time,2186
16187,2157BL,BL,-2134,standing_time,1359
16188,2157BL,BL,-2133,standing_time,1426
16189,2157BL,BL,-2132,standing_time,2117
16190,2157BL,BL,-2131,standing_time,338
16191,2157BL,BL,-2130,standing_time,696
16192,2157BL,BL,-2129,standing_time,1939
16193,2157BL,BL,-2128,standing_time,2804
16194,2157BL,BL,-2127,standing_time,477
16195,2157BL,BL,-2126,standing_time,1215
16196,2157BL,BL,-2125,standing_time,1631
16197,2157BL,BL,-2124,standing_time,1614
16198,2157BL,BL,-2123,standing_time,3161
16199,2157BL,BL,-2122,standing_time,682
16200,2157BR,BR,-3585,standing_time,900
16201,2157BR,BR,-3584,standing_time,0
16202,2157BR,BR,-3583,standing_time,2531
16203,2157BR,BR,-3582,standing_time,0
16204,2157BR,BR,-3581,standing_time,328
16205,2157BR,BR,-3580,standing_time,0
16206,2157BR,BR,-3579,standing_time,506
16207,2157BR,BR,-3578,standing_time,2996
16208,2157BR,BR,-3577,standing_time,1503
16209,2157BR,BR,-3576,standing_time,1446
16210,2157BR,BR,-3575,standing_time,0
16211,2157BR,BR,-3574,standing_time,745
16212,2157BR,BR,-3573,standing_time,1693
16213,2157BR,BR,-3572,standing_time,2380
16214,2157BR,BR,-3571,standing_time,0
16215,2157BR,BR,-3570,standing_time,891
16216,2157BR,BR,-3569,standing_time,2103
16217,2157BR,BR,-3568,standing_time,719
16218,2157BR,BR,-3567,standing_time,0
16219,2157BR,BR,-3566,standing_time,968
16220,2157BR,BR,-3565,standing_time,3024
16221,2157BR,BR,-3564,standing_time,199
16222,2157BR,BR,-3563,standing_time,768
16223,2157BR,BR,-3562,standing_time,392
16224,2157BR,BR,-2841,standing_time,1393
16225,2157BR,BR,-2840,standing_time,0
16226,2157BR,BR,-2839,standing_time,1827
16227,2157BR,BR,-2838,standing_time,0
16228,2157BR,BR,-2837,standing_time,711
16229,2157BR,BR,-2836,standing_time,0
16230,2157BR,BR,-2835,standing_time,1299
16231,2157BR,BR,-2834,standing_time,3403
16232,2157BR,BR,-2833,standing_time,0
16233,2157BR,BR,-2832,standing_time,1464
16234,2157BR,BR,-2831,standing_time,1620
16235,2157BR,BR,-2830,standing_time,0
16236,2157BR,BR,-2829,standing_time,2213
16237,2157BR,BR,-2828,standing_time,83
16238,2157BR,BR,-2827,standing_time,1388
16239,2157BR,BR,-2826,standing_time,0
16240,2157BR,BR,-2825,standing_time,2653
16241,2157BR,BR,-2824,standing_time,763
16242,2157BR,BR,-2823,standing_time,0
16243,2157BR,BR,-2822,standing_time,2429
16244,2157BR,BR,-2821,standing_time,1854
16245,2157BR,BR,-2820,standing_time,2072
16246,2157BR,BR,-2819,standing_time,966
16247,2157BR,BR,-2818,standing_time,648
16248,2157BR,BR,-2145,standing_time,0
16249,2157BR,BR,-2144,standing_time,773
16250,2157BR,BR,-2143,standing_time,734
16251,2157BR,BR,-2142,standing_time,2128
16252,2157BR,BR,-2141,standing_time,2457
16253,2157BR,BR,-2140,standing_time,280
16254,2157BR,BR,-2139,standing_time,2348
16255,2157BR,BR,-2138,standing_time,2157
16256,2157BR,BR,-2137,standing_time,2769
16257,2157BR,BR,-2136,standing_time,925
16258,2157BR,BR,-2135,standing_time,2551
16259,2157BR,BR,-2134,standing_time,1278
16260,2157BR,BR,-2133,standing_time,1846
16261,2157BR,BR,-2132,standing_time,2028
16262,2157BR,BR,-2131,standing_time,1300
16263,2157BR,BR,-2130,standing_time,3065
16264,2157BR,BR,-2129,standing_time,1900
16265,2157BR,BR,-2128,standing_time,2671
16266,2157BR,BR,-2127,standing_time,415
16267,2157BR,BR,-2126,standing_time,1229
16268,2157BR,BR,-2125,standing_time,3600
16269,2157BR,BR,-2124,standing_time,2126
16270,2157BR,BR,-2123,standing_time,881
16271,2157BR,BR,-2122,standing_time,769
16272,2157FL,FL,-3585,standing_time,900
16273,2157FL,FL,-3584,standing_time,0
16274,2157FL,FL,-3583,standing_time,1335
16275,2157FL,FL,-3582,standing_time,0
16276,2157FL,FL,-3581,standing_time,322
16277,2157FL,FL,-3580,standing_time,0
16278,2157FL,FL,-3579,standing_time,543
16279,2157FL,FL,-3578,standing_time,2952
16280,2157FL,FL,-3577,standing_time,1535
16281,2157FL,FL,-3576,standing_time,1401
16282,2157FL,FL,-3575,standing_time,0
16283,2157FL,FL,-3574,standing_time,783
16284,2157FL,FL,-3573,standing_time,1649
16285,2157FL,FL,-3572,standing_time,2367
16286,2157FL,FL,-3571,standing_time,0
16287,2157FL,FL,-3570,standing_time,886
16288,2157FL,FL,-3569,standing_time,2096
16289,2157FL,FL,-3568,standing_time,711
16290,2157FL,FL,-3567,standing_time,0
16291,2157FL,FL,-3566,standing_time,966
16292,2157FL,FL,-3565,standing_time,3016
16293,2157FL,FL,-3564,standing_time,193
16294,2157FL,FL,-3563,standing_time,766
16295,2157FL,FL,-3562,standing_time,391
16296,2157FL,FL,-2841,standing_time,1387
16297,2157FL,FL,-2840,standing_time,0
16298,2157FL,FL,-2839,standing_time,1818
16299,2157FL,FL,-2838,standing_time,0
16300,2157FL,FL,-2837,standing_time,705
16301,2157FL,FL,-2836,standing_time,0
16302,2157FL,FL,-2835,standing_time,1289
16303,2157FL,FL,-2834,standing_time,3390
16304,2157FL,FL,-2833,standing_time,0
16305,2157FL,FL,-2832,standing_time,1461
16306,2157FL,FL,-2831,standing_time,1616
16307,2157FL,FL,-2830,standing_time,0
16308,2157FL,FL,-2829,standing_time,2203
16309,2157FL,FL,-2828,standing_time,81
16310,2157FL,FL,-2827,standing_time,1358
16311,2157FL,FL,-2826,standing_time,0
16312,2157FL,FL,-2825,standing_time,2655
16313,2157FL,FL,-2824,standing_time,758
16314,2157FL,FL,-2823,standing_time,0
16315,2157FL,FL,-2822,standing_time,2424
16316,2157FL,FL,-2821,standing_time,1849
16317,2157FL,FL,-2820,standing_time,2062
16318,2157FL,FL,-2819,standing_time,972
16319,2157FL,FL,-2818,standing_time,608
16320,2157FL,FL,-2145,standing_time,0
16321,2157FL,FL,-2144,standing_time,761
16322,2157FL,FL,-2143,standing_time,740
16323,2157FL,FL,-2142,standing_time,1849
16324,2157FL,FL,-2141,standing_time,2014
16325,2157FL,FL,-2140,standing_time,276
16326,2157FL,FL,-2139,standing_time,1353
16327,2157FL,FL,-2138,standing_time,1828
16328,2157FL,FL,-2137,standing_time,2661
16329,2157FL,FL,-2136,standing_time,913
16330,2157FL,FL,-2135,standing_time,2175
16331,2157FL,FL,-2134,standing_time,1064
16332,2157FL,FL,-2133,standing_time,817
16333,2157FL,FL,-2132,standing_time,0
16334,2157FL,FL,-2131,standing_time,0
16335,2157FL,FL,-2130,standing_time,1531
16336,2157FL,FL,-2129,standing_time,1881
16337,2157FL,FL,-2128,standing_time,2669
16338,2157FL,FL,-2127,standing_time,432
16339,2157FL,FL,-2126,standing_time,1209
16340,2157FL,FL,-2125,standing_time,1629
16341,2157FL,FL,-2124,standing_time,995
16342,2157FL,FL,-2123,standing_time,861
16343,2157FL,FL,-2122,standing_time,681
16344,2206BL,BL,-2190,standing_time,760
16345,2206BL,BL,-2189,standing_time,320
16346,2206BL,BL,-2188,standing_time,0
16347,2206BL,BL,-2187,standing_time,2248
16348,2206BL,BL,-2186,standing_time,477
16349,2206BL,BL,-2185,standing_time,298
16350,2206BL,BL,-2184,standing_time,1768
16351,2206BL,BL,-2183,standing_time,3600
16352,2206BL,BL,-2182,standing_time,3600
16353,2206BL,BL,-2181,standing_time,1768
16354,2206BL,BL,-2180,standing_time,3186
16355,2206BL,BL,-2179,standing_time,313
16356,2206BL,BL,-2178,standing_time,2848
16357,2206BL,BL,-2177,standing_time,2458
16358,2206BL,BL,-2176,standing_time,2452
16359,2206BL,BL,-2175,standing_time,323
16360,2206BL,BL,-2174,standing_time,2004
16361,2206BL,BL,-2173,standing_time,3213
16362,2206BL,BL,-2172,standing_time,520
16363,2206BL,BL,-2171,standing_time,3600
16364,2206BL,BL,-2170,standing_time,1769
16365,2206BL,BL,-2169,standing_time,366
16366,2206BL,BL,-2168,standing_time,836
16367,2206BL,BL,-2167,standing_time,1430
16368,2206BL,BL,-1446,standing_time,776
16369,2206BL,BL,-1445,standing_time,210
16370,2206BL,BL,-1444,standing_time,229
16371,2206BL,BL,-1443,standing_time,543
16372,2206BL,BL,-1442,standing_time,390
16373,2206BL,BL,-1441,standing_time,267
16374,2206BL,BL,-1440,standing_time,2016
16375,2206BL,BL,-1439,standing_time,3600
16376,2206BL,BL,-1438,standing_time,1121
16377,2206BL,BL,-1437,standing_time,3411
16378,2206BL,BL,-1436,standing_time,322
16379,2206BL,BL,-1435,standing_time,3600
16380,2206BL,BL,-1434,standing_time,611
16381,2206BL,BL,-1433,standing_time,3598
16382,2206BL,BL,-1432,standing_time,3600
16383,2206BL,BL,-1431,standing_time,3466
16384,2206BL,BL,-1430,standing_time,1464
16385,2206BL,BL,-1429,standing_time,1971
16386,2206BL,BL,-1428,standing_time,2343
16387,2206BL,BL,-1427,standing_time,3600
16388,2206BL,BL,-1426,standing_time,1721
16389,2206BL,BL,-1425,standing_time,2286
16390,2206BL,BL,-1424,standing_time,755
16391,2206BL,BL,-1423,standing_time,2045
16392,2206BL,BL,-726,standing_time,438
16393,2206BL,BL,-725,standing_time,518
16394,2206BL,BL,-724,standing_time,458
16395,2206BL,BL,-723,standing_time,488
16396,2206BL,BL,-722,standing_time,1525
16397,2206BL,BL,-721,standing_time,3600
16398,2206BL,BL,-720,standing_time,2927
16399,2206BL,BL,-719,standing_time,1304
16400,2206BL,BL,-718,standing_time,2839
16401,2206BL,BL,-717,standing_time,963
16402,2206BL,BL,-716,standing_time,3541
16403,2206BL,BL,-715,standing_time,1004
16404,2206BL,BL,-714,standing_time,1804
16405,2206BL,BL,-713,standing_time,2150
16406,2206BL,BL,-712,standing_time,3440
16407,2206BL,BL,-711,standing_time,2069
16408,2206BL,BL,-710,standing_time,3600
16409,2206BL,BL,-709,standing_time,278
16410,2206BL,BL,-708,standing_time,1794
16411,2206BL,BL,-707,standing_time,2577
16412,2206BL,BL,-706,standing_time,2057
16413,2206BL,BL,-705,standing_time,0
16414,2206BL,BL,-704,standing_time,1875
16415,2206BL,BL,-703,standing_time,0
16416,2206BR,BR,-2190,standing_time,900
16417,2206BR,BR,-2189,standing_time,322
16418,2206BR,BR,-2188,standing_time,0
16419,2206BR,BR,-2187,standing_time,2096
16420,2206BR,BR,-2186,standing_time,631
16421,2206BR,BR,-2185,standing_time,299
16422,2206BR,BR,-2184,standing_time,1611
16423,2206BR,BR,-2183,standing_time,3600
16424,2206BR,BR,-2182,standing_time,3600
16425,2206BR,BR,-2181,standing_time,1770
16426,2206BR,BR,-2180,standing_time,3345
16427,2206BR,BR,-2179,standing_time,312
16428,2206BR,BR,-2178,standing_time,2690
16429,2206BR,BR,-2177,standing_time,2460
16430,2206BR,BR,-2176,standing_time,2610
16431,2206BR,BR,-2175,standing_time,324
16432,2206BR,BR,-2174,standing_time,1845
16433,2206BR,BR,-2173,standing_time,3371
16434,2206BR,BR,-2172,standing_time,360
16435,2206BR,BR,-2171,standing_time,3600
16436,2206BR,BR,-2170,standing_time,1930
16437,2206BR,BR,-2169,standing_time,366
16438,2206BR,BR,-2168,standing_time,837
16439,2206BR,BR,-2167,standing_time,1270
16440,2206BR,BR,-1446,standing_time,941
16441,2206BR,BR,-1445,standing_time,209
16442,2206BR,BR,-1444,standing_time,231
16443,2206BR,BR,-1443,standing_time,545
16444,2206BR,BR,-1442,standing_time,389
16445,2206BR,BR,-1441,standing_time,268
16446,2206BR,BR,-1440,standing_time,1853
16447,2206BR,BR,-1439,standing_time,3600
16448,2206BR,BR,-1438,standing_time,1148
16449,2206BR,BR,-1437,standing_time,3552
16450,2206BR,BR,-1436,standing_time,155
16451,2206BR,BR,-1435,standing_time,3600
16452,2206BR,BR,-1434,standing_time,779
16453,2206BR,BR,-1433,standing_time,3432
16454,2206BR,BR,-1432,standing_time,3600
16455,2206BR,BR,-1431,standing_time,3600
16456,2206BR,BR,-1430,standing_time,1333
16457,2206BR,BR,-1429,standing_time,2138
16458,2206BR,BR,-1428,standing_time,2303
16459,2206BR,BR,-1427,standing_time,3510
16460,2206BR,BR,-1426,standing_time,1718
16461,2206BR,BR,-1425,standing_time,2517
16462,2206BR,BR,-1424,standing_time,772
16463,2206BR,BR,-1423,standing_time,2052
16464,2206BR,BR,-726,standing_time,438
16465,2206BR,BR,-725,standing_time,358
16466,2206BR,BR,-724,standing_time,709
16467,2206BR,BR,-723,standing_time,503
16468,2206BR,BR,-722,standing_time,1472
16469,2206BR,BR,-721,standing_time,3488
16470,2206BR,BR,-720,standing_time,2925
16471,2206BR,BR,-719,standing_time,1308
16472,2206BR,BR,-718,standing_time,3007
16473,2206BR,BR,-717,standing_time,952
16474,2206BR,BR,-716,standing_time,3443
16475,2206BR,BR,-715,standing_time,942
16476,2206BR,BR,-714,standing_time,3298
16477,2206BR,BR,-713,standing_time,1974
16478,2206BR,BR,-712,standing_time,3600
16479,2206BR,BR,-711,standing_time,1912
16480,2206BR,BR,-710,standing_time,3600
16481,2206BR,BR,-709,standing_time,279
16482,2206BR,BR,-708,standing_time,1795
16483,2206BR,BR,-707,standing_time,3111
16484,2206BR,BR,-706,standing_time,2055
16485,2206BR,BR,-705,standing_time,0
16486,2206BR,BR,-704,standing_time,1876
16487,2206BR,BR,-703,standing_time,0
16488,2206FL,FL,-2190,standing_time,0
16489,2206FL,FL,-2189,standing_time,316
16490,2206FL,FL,-2188,standing_time,0
16491,2206FL,FL,-2187,standing_time,2095
16492,2206FL,FL,-2186,standing_time,625
16493,2206FL,FL,-2185,standing_time,295
16494,2206FL,FL,-2184,standing_time,1610
16495,2206FL,FL,-2183,standing_time,3600
16496,2206FL,FL,-2182,standing_time,3600
16497,2206FL,FL,-2181,standing_time,1765
16498,2206FL,FL,-2180,standing_time,3342
16499,2206FL,FL,-2179,standing_time,308
16500,2206FL,FL,-2178,standing_time,2687
16501,2206FL,FL,-2177,standing_time,2456
16502,2206FL,FL,-2176,standing_time,2608
16503,2206FL,FL,-2175,standing_time,318
16504,2206FL,FL,-2174,standing_time,1844
16505,2206FL,FL,-2173,standing_time,3370
16506,2206FL,FL,-2172,standing_time,359
16507,2206FL,FL,-2171,standing_time,3600
16508,2206FL,FL,-2170,standing_time,1927
16509,2206FL,FL,-2169,standing_time,362
16510,2206FL,FL,-2168,standing_time,831
16511,2206FL,FL,-2167,standing_time,1267
16512,2206FL,FL,-1446,standing_time,937
16513,2206FL,FL,-1445,standing_time,205
16514,2206FL,FL,-1444,standing_time,225
16515,2206FL,FL,-1443,standing_time,541
16516,2206FL,FL,-1442,standing_time,386
16517,2206FL,FL,-1441,standing_time,263
16518,2206FL,FL,-1440,standing_time,1851
16519,2206FL,FL,-1439,standing_time,3600
16520,2206FL,FL,-1438,standing_time,1144
16521,2206FL,FL,-1437,standing_time,3548
16522,2206FL,FL,-1436,standing_time,152
16523,2206FL,FL,-1435,standing_time,3600
16524,2206FL,FL,-1434,standing_time,776
16525,2206FL,FL,-1433,standing_time,3430
16526,2206FL,FL,-1432,standing_time,3600
16527,2206FL,FL,-1431,standing_time,3600
16528,2206FL,FL,-1430,standing_time,1326
16529,2206FL,FL,-1429,standing_time,2136
16530,2206FL,FL,-1428,standing_time,2261
16531,2206FL,FL,-1427,standing_time,3507
16532,2206FL,FL,-1426,standing_time,1713
16533,2206FL,FL,-1425,standing_time,2435
16534,2206FL,FL,-1424,standing_time,766
16535,2206FL,FL,-1423,standing_time,2040
16536,2206FL,FL,-726,standing_time,434
16537,2206FL,FL,-725,standing_time,353
16538,2206FL,FL,-724,standing_time,606
16539,2206FL,FL,-723,standing_time,474
16540,2206FL,FL,-722,standing_time,1463
16541,2206FL,FL,-721,standing_time,3480
16542,2206FL,FL,-720,standing_time,2921
16543,2206FL,FL,-719,standing_time,1299
16544,2206FL,FL,-718,standing_time,3011
16545,2206FL,FL,-717,standing_time,946
16546,2206FL,FL,-716,standing_time,3432
16547,2206FL,FL,-715,standing_time,938
16548,2206FL,FL,-714,standing_time,1976
16549,2206FL,FL,-713,standing_time,1969
16550,2206FL,FL,-712,standing_time,3600
16551,2206FL,FL,-711,standing_time,1905
16552,2206FL,FL,-710,standing_time,3600
16553,2206FL,FL,-709,standing_time,275
16554,2206FL,FL,-708,standing_time,1789
16555,2206FL,FL,-707,standing_time,2575
16556,2206FL,FL,-706,standing_time,2051
16557,2206FL,FL,-705,standing_time,0
16558,2206FL,FL,-704,standing_time,1870
16559,2206FL,FL,-703,standing_time,0
16560,2573BL,BL,-48,standing_time,1729
16561,2573BL,BL,-47,standing_time,1508
16562,2573BL,BL,-46,standing_time,0
16563,2573BL,BL,-45,standing_time,232
16564,2573BL,BL,-44,standing_time,0
16565,2573BL,BL,-43,standing_time,889
16566,2573BL,BL,-42,standing_time,2276
16567,2573BL,BL,-41,standing_time,2063
16568,2573BL,BL,-40,standing_time,3600
16569,2573BL,BL,-39,standing_time,3600
16570,2573BL,BL,-38,standing_time,3600
16571,2573BL,BL,-37,standing_time,3600
16572,2573BL,BL,-36,standing_time,3600
16573,2573BL,BL,-35,standing_time,3600
16574,2573BL,BL,-34,standing_time,3600
16575,2573BL,BL,-33,standing_time,2441
16576,2573BL,BL,-32,standing_time,2953
16577,2573BL,BL,-31,standing_time,2784
16578,2573BL,BL,-30,standing_time,2019
16579,2573BL,BL,-29,standing_time,2953
16580,2573BL,BL,-28,standing_time,0
16581,2573BL,BL,-27,standing_time,0
16582,2573BL,BL,-26,standing_time,244
16583,2573BL,BL,-25,standing_time,1422
16584,2573BL,BL,-24,standing_time,1700
16585,2573BL,BL,-23,standing_time,2728
16586,2573BL,BL,-22,standing_time,0
16587,2573BL,BL,-21,standing_time,194
16588,2573BL,BL,-20,standing_time,0
16589,2573BL,BL,-19,standing_time,0
16590,2573BL,BL,-18,standing_time,3138
16591,2573BL,BL,-17,standing_time,3600
16592,2573BL,BL,-16,standing_time,3600
16593,2573BL,BL,-15,standing_time,3600
16594,2573BL,BL,-14,standing_time,2708
16595,2573BL,BL,-13,standing_time,3600
16596,2573BL,BL,-12,standing_time,3600
16597,2573BL,BL,-11,standing_time,2084
16598,2573BL,BL,-10,standing_time,3600
16599,2573BL,BL,-9,standing_time,3600
16600,2573BL,BL,-8,standing_time,1039
16601,2573BL,BL,-7,standing_time,2243
16602,2573BL,BL,-6,standing_time,1119
16603,2573BL,BL,-5,standing_time,3144
16604,2573BL,BL,-4,standing_time,1622
16605,2573BL,BL,-3,standing_time,1532
16606,2573BL,BL,-2,standing_time,1538
16607,2573BL,BL,-1,standing_time,1876
16608,2573BL,BL,0,standing_time,3600
16609,2573BL,BL,1,standing_time,3600
16610,2573BL,BL,2,standing_time,2933
16611,2573BL,BL,3,standing_time,3589
16612,2573BL,BL,4,standing_time,2731
16613,2573BL,BL,5,standing_time,2997
16614,2573BL,BL,6,standing_time,3600
16615,2573BL,BL,7,standing_time,1287
16616,2573BL,BL,8,standing_time,1071
16617,2573BL,BL,9,standing_time,213
16618,2573BL,BL,10,standing_time,3600
16619,2573BL,BL,11,standing_time,2558
16620,2573BL,BL,12,standing_time,540
16621,2573BL,BL,13,standing_time,3469
16622,2573BL,BL,14,standing_time,3600
16623,2573BL,BL,15,standing_time,3204
16624,2573BL,BL,16,standing_time,3243
16625,2573BL,BL,17,standing_time,1558
16626,2573BL,BL,18,standing_time,1657
16627,2573BL,BL,19,standing_time,3600
16628,2573BL,BL,20,standing_time,616
16629,2573BL,BL,21,standing_time,1377
16630,2573BL,BL,22,standing_time,0
16631,2573BL,BL,23,standing_time,1399
16632,2573BR,BR,-48,standing_time,1474
16633,2573BR,BR,-47,standing_time,180
16634,2573BR,BR,-46,standing_time,1091
16635,2573BR,BR,-45,standing_time,355
16636,2573BR,BR,-44,standing_time,325
16637,2573BR,BR,-43,standing_time,282
16638,2573BR,BR,-42,standing_time,0
16639,2573BR,BR,-41,standing_time,137
16640,2573BR,BR,-40,standing_time,784
16641,2573BR,BR,-39,standing_time,1075
16642,2573BR,BR,-38,standing_time,3600
16643,2573BR,BR,-37,standing_time,3340
16644,2573BR,BR,-36,standing_time,3600
16645,2573BR,BR,-35,standing_time,3600
16646,2573BR,BR,-34,standing_time,3600
16647,2573BR,BR,-33,standing_time,3600
16648,2573BR,BR,-32,standing_time,428
16649,2573BR,BR,-31,standing_time,3600
16650,2573BR,BR,-30,standing_time,3600
16651,2573BR,BR,-29,standing_time,3600
16652,2573BR,BR,-28,standing_time,3600
16653,2573BR,BR,-27,standing_time,1225
16654,2573BR,BR,-26,standing_time,1740
16655,2573BR,BR,-25,standing_time,1625
16656,2573BR,BR,-24,standing_time,591
16657,2573BR,BR,-23,standing_time,3293
16658,2573BR,BR,-22,standing_time,324
16659,2573BR,BR,-21,standing_time,3600
16660,2573BR,BR,-20,standing_time,627
16661,2573BR,BR,-19,standing_time,706
16662,2573BR,BR,-18,standing_time,397
16663,2573BR,BR,-17,standing_time,307
16664,2573BR,BR,-16,standing_time,1839
16665,2573BR,BR,-15,standing_time,3600
16666,2573BR,BR,-14,standing_time,3600
16667,2573BR,BR,-13,standing_time,3600
16668,2573BR,BR,-12,standing_time,3600
16669,2573BR,BR,-11,standing_time,3600
16670,2573BR,BR,-10,standing_time,3431
16671,2573BR,BR,-9,standing_time,1159
16672,2573BR,BR,-8,standing_time,3600
16673,2573BR,BR,-7,standing_time,1533
16674,2573BR,BR,-6,standing_time,3600
16675,2573BR,BR,-5,standing_time,3600
16676,2573BR,BR,-4,standing_time,2976
16677,2573BR,BR,-3,standing_time,1091
16678,2573BR,BR,-2,standing_time,3600
16679,2573BR,BR,-1,standing_time,2467
16680,2573BR,BR,0,standing_time,823
16681,2573BR,BR,1,standing_time,1458
16682,2573BR,BR,2,standing_time,0
16683,2573BR,BR,3,standing_time,2793
16684,2573BR,BR,4,standing_time,736
16685,2573BR,BR,5,standing_time,1591
16686,2573BR,BR,6,standing_time,3600
16687,2573BR,BR,7,standing_time,2472
16688,2573BR,BR,8,standing_time,3600
16689,2573BR,BR,9,standing_time,3600
16690,2573BR,BR,10,standing_time,3600
16691,2573BR,BR,11,standing_time,3600
16692,2573BR,BR,12,standing_time,3600
16693,2573BR,BR,13,standing_time,3600
16694,2573BR,BR,14,standing_time,3600
16695,2573BR,BR,15,standing_time,3600
16696,2573BR,BR,16,standing_time,2066
16697,2573BR,BR,17,standing_time,2919
16698,2573BR,BR,18,standing_time,2758
16699,2573BR,BR,19,standing_time,750
16700,2573BR,BR,20,standing_time,0
16701,2573BR,BR,21,standing_time,1197
16702,2573BR,BR,22,standing_time,2949
16703,2573BR,BR,23,standing_time,0
16704,2573FL,FL,-48,standing_time,2888
16705,2573FL,FL,-47,standing_time,669
16706,2573FL,FL,-46,standing_time,0
16707,2573FL,FL,-45,standing_time,225
16708,2573FL,FL,-44,standing_time,0
16709,2573FL,FL,-43,standing_time,1724
16710,2573FL,FL,-42,standing_time,1432
16711,2573FL,FL,-41,standing_time,2900
16712,2573FL,FL,-40,standing_time,3600
16713,2573FL,FL,-39,standing_time,3600
16714,2573FL,FL,-38,standing_time,3600
16715,2573FL,FL,-37,standing_time,3600
16716,2573FL,FL,-36,standing_time,3600
16717,2573FL,FL,-35,standing_time,3600
16718,2573FL,FL,-34,standing_time,3600
16719,2573FL,FL,-33,standing_time,1781
16720,2573FL,FL,-32,standing_time,3600
16721,2573FL,FL,-31,standing_time,1942
16722,2573FL,FL,-30,standing_time,2857
16723,2573FL,FL,-29,standing_time,2110
16724,2573FL,FL,-28,standing_time,0
16725,2573FL,FL,-27,standing_time,0
16726,2573FL,FL,-26,standing_time,1080
16727,2573FL,FL,-25,standing_time,578
16728,2573FL,FL,-24,standing_time,2526
16729,2573FL,FL,-23,standing_time,1885
16730,2573FL,FL,-22,standing_time,0
16731,2573FL,FL,-21,standing_time,189
16732,2573FL,FL,-20,standing_time,0
16733,2573FL,FL,-19,standing_time,513
16734,2573FL,FL,-18,standing_time,3456
16735,2573FL,FL,-17,standing_time,3600
16736,2573FL,FL,-16,standing_time,3600
16737,2573FL,FL,-15,standing_time,3336
16738,2573FL,FL,-14,standing_time,2966
